Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Prediction on transaction amounts of China’s CBEC with improved GM (1, 1) models based on the principle of new information priority","Electronic Commerce Research","","21","1","10.1007/s10660-020-09434-z","Chuanmin MiYijing WangLin Xiao","2021","http://link.springer.com/article/10.1007/s10660-020-09434-z","Article"
"TASM: technocrat ARIMA and SVR model for workload prediction of web applications in cloud","Cluster Computing","","22","2","10.1007/s10586-018-2868-6","Parminder SinghPooja GuptaKiran Jyoti","2019","http://link.springer.com/article/10.1007/s10586-018-2868-6","Article"
"A dual-stage attention-based Bi-LSTM network for multivariate time series prediction","The Journal of Supercomputing","","78","14","10.1007/s11227-022-04506-3","Qi ChengYixin ChenYuteng XiaoHongsheng YinWeidong Liu","2022","http://link.springer.com/article/10.1007/s11227-022-04506-3","Article"
"Bias correction of WRF output for operational avalanche forecasting in the Indian Himalayan region","Journal of Earth System Science","","131","3","10.1007/s12040-022-01899-w","Nibedita SamalSanjeev Kumar Jha","2022","http://link.springer.com/article/10.1007/s12040-022-01899-w","Article"
"Deep Nonlinear Ensemble Framework for Stock Index Forecasting and Uncertainty Analysis","Cognitive Computation","","13","6","10.1007/s12559-021-09961-3","Jujie WangLiu FengYang LiJunjie HeChunchen Feng","2021","http://link.springer.com/article/10.1007/s12559-021-09961-3","Article"
"Resource Provisioning Through Machine Learning in Cloud Services","Arabian Journal for Science and Engineering","","47","2","10.1007/s13369-021-05864-5","Mahendra Pratap YadavRohitDharmendra Kumar Yadav","2022","http://link.springer.com/article/10.1007/s13369-021-05864-5","Article"
"Electricity consumption prediction using a neural-network-based grey forecasting approach","Journal of the Operational Research Society","","68","10","10.1057/s41274-016-0150-y","Yi-Chung Hu","2017","http://link.springer.com/article/10.1057/s41274-016-0150-y","Article"
"Feature averaging of historical meteorological data with machine and deep learning assist wind farm power performance analysis and forecasts","Energy Systems","","","","10.1007/s12667-022-00502-x","David A. Wood","2022","http://link.springer.com/article/10.1007/s12667-022-00502-x","Article"
"Modeling autoregressive fuzzy time series data based on semi-parametric methods","Soft Computing","","24","10","10.1007/s00500-019-04349-w","R. ZareiM. Gh. AkbariJ. Chachi","2020","http://link.springer.com/article/10.1007/s00500-019-04349-w","Article"
"Spatial correlation in weather forecast accuracy: a functional time series approach","Computational Statistics","","38","3","10.1007/s00180-023-01338-4","Phillip A. JangDavid S. Matteson","2023","http://link.springer.com/article/10.1007/s00180-023-01338-4","Article"
"Forecasting volatility of carbon under EU ETS: a multi-phase study","Environmental Economics and Policy Studies","","19","2","10.1007/s10018-016-0155-4","Ajay K. DhamijaSurendra S. YadavPK Jain","2017","http://link.springer.com/article/10.1007/s10018-016-0155-4","Article"
"Auto-scaling techniques for IoT-based cloud applications: a review","Cluster Computing","","24","3","10.1007/s10586-021-03265-9","Shveta VermaAnju Bala","2021","http://link.springer.com/article/10.1007/s10586-021-03265-9","Article"
"Air temperature forecasting using artificial neural network for Ararat valley","Earth Science Informatics","","14","2","10.1007/s12145-021-00583-9","Hrachya AstsatryanHayk GrigoryanAghasi PoghosyanRita AbrahamyanShushanik AsmaryanVahagn MuradyanGaregin TepanosyanYaniss GuigozGregory Giuliani","2021","http://link.springer.com/article/10.1007/s12145-021-00583-9","Article"
"A Large Dimensional VAR Model with Time-Varying Parameters for Daily Forex Forecasting","Wireless Personal Communications","","115","4","10.1007/s11277-020-07531-8","Paponpat TaveeapiradeecharoenNattapol Aunsri","2020","http://link.springer.com/article/10.1007/s11277-020-07531-8","Article"
"A combined neural network model for commodity price forecasting with SSA","Soft Computing","","22","16","10.1007/s00500-018-3023-2","Jue WangXiang Li","2018","http://link.springer.com/article/10.1007/s00500-018-3023-2","Article"
"Hybrid Fuzzy Time Series Model and Data Fusion for Predicting Remaining Useful Life","Russian Journal of Nondestructive Testing","","58","12","10.1134/S1061830922600502","M. RiahiA. Maghsoudi","2022","http://link.springer.com/article/10.1134/S1061830922600502","Article"
"A Probabilistic Cohort-Component Model for Population Forecasting – The Case of Germany","Journal of Population Ageing","","13","4","10.1007/s12062-019-09258-2","Patrizio VanellaPhilipp Deschermeier","2020","http://link.springer.com/article/10.1007/s12062-019-09258-2","Article"
"Forecasting commercial real estate indicators under COVID-19 by adopting human activity using social big data","Asia-Pacific Journal of Regional Science","","6","3","10.1007/s41685-022-00254-7","Maral TaşcılarKerem Yavuz Arslanlı","2022","http://link.springer.com/article/10.1007/s41685-022-00254-7","Article"
"Advances in Geo-Time Series Modelling","Journal of the Geological Society of India","","97","10","10.1007/s12594-021-1862-4","R. K. TiwariRajesh Rekapalli","2021","http://link.springer.com/article/10.1007/s12594-021-1862-4","Article"
"Foreign Exchange Rates Forecasting with Convolutional Neural Network","Neural Processing Letters","","46","3","10.1007/s11063-017-9629-z","Chen LiuWeiyan HouDeyin Liu","2017","http://link.springer.com/article/10.1007/s11063-017-9629-z","Article"
"A novel ensemble learning approach for hourly global solar radiation forecasting","Neural Computing and Applications","","34","4","10.1007/s00521-021-06421-9","Mawloud GuermouiSaid BenkacialiKacem GairaaKada BouchouichaTayeb BoulmaizJohn W. Boland","2022","http://link.springer.com/article/10.1007/s00521-021-06421-9","Article"
"Spatiotemporal forecast with local temporal drift applied to weather patterns in Patagonia","SN Applied Sciences","","2","6","10.1007/s42452-020-2814-0","Eduardo Henrique de Moraes TakafujiMarcelo Monteiro da RochaRodrigo Lilla Manzione","2020","http://link.springer.com/article/10.1007/s42452-020-2814-0","Article"
"Modelling and forecasting of carbon-dioxide emissions in South Africa by using ARIMA model","International Journal of Environmental Science and Technology","","","","10.1007/s13762-022-04609-7","M. Kour","2022","http://link.springer.com/article/10.1007/s13762-022-04609-7","Article"
